param nPaletes:=15;
param nNiveis:=40;

#Referencia	Altura	Largura	Taxa de utilização
param PALETES:
	1	2	3	4:=
1	1	790	1000	176
2	1	590	1000	176
3	2	470	1000	167
4	3	470	1000	166
5	4	590	1000	157
6	5	46	1000	148
7	6	83.2	1000	144
8	7	33	1000	129
9	8	79	1000	125
10	9	33	1000	124
11	10	1090	800	31
12	11	1090	800	31
13	12	790	800	29
14	13	790	800	29
15	14	790	800	29;


#tempo	Largura	Altura
param NIVEIS:
1	2	3:=
1	0.58	3200	1200
2	1.73	3200	1200
3	2.88	3200	1200
4	4.03	3200	1200
5	5.18	3200	1200
6	3.58	3200	1200
7	4.73	3200	1200
8	5.88	3200	1200
9	7.03	3200	1200
10	8.18	3200	1200
11	8.58	3200	1200
12	9.73	3200	1200
13	10.88	3200	1200
14	12.03	3200	1200
15	13.18	3200	1200
16	15.58	3200	1200
17	16.73	3200	1200
18	17.88	3200	1200
19	19.03	3200	1200
20	20.18	3200	1200
21	0.58	3200	1200
22	1.73	3200	1200
23	2.88	3200	1200
24	4.03	3200	1200
25	5.18	3200	1200
26	3.58	3200	1200
27	4.73	3200	1200
28	5.88	3200	1200
29	7.03	3200	1200
30	8.18	3200	1200
31	8.58	3200	1200
32	9.73	3200	1200
33	10.88	3200	1200
34	12.03	3200	1200
35	13.18	3200	1200
36	15.58	3200	1200
37	16.73	3200	1200
38	17.88	3200	1200
39	19.03	3200	1200
40	20.18	3200	1200; 
