param nPaletes:=452;
param nNiveis:=452;

#Referencia	Altura	Largura	Taxa de utilização
param PALETES:
	1	2	3	4:=
1	1	790	1000	176
2	1	590	1000	176
3	2	470	1000	167
4	3	470	1000	166
5	4	590	1000	157
6	5	460	1000	148
7	6	832	1000	144
8	7	330	1000	129
9	8	790	1000	125
10	9	330	1000	124
11	10	330	1000	114
12	11	330	1000	100
13	12	790	1000	96
14	12	790	1000	96
15	12	790	1000	96
16	12	790	1000	96
17	12	790	1000	96
18	12	790	1000	96
19	12	790	1000	96
20	12	790	1000	96
21	13	790	1000	95
22	13	790	1000	95
23	13	790	1000	95
24	13	790	1000	95
25	13	790	1000	95
26	13	790	1000	95
27	13	790	1000	95
28	13	790	1000	95
29	14	330	1000	95
30	15	790	1000	93
31	15	790	1000	93
32	15	790	1000	93
33	15	790	1000	93
34	15	790	1000	93
35	15	790	1000	93
36	15	790	1000	93
37	15	790	1000	93
38	15	790	1000	93
39	15	790	1000	93
40	15	790	1000	93
41	15	790	1000	93
42	15	790	1000	93
43	15	790	1000	93
44	15	790	1000	93
45	15	790	1000	93
46	15	790	1000	93
47	15	790	1000	93
48	15	790	1000	93
49	15	790	1000	93
50	16	790	1000	93
51	16	790	1000	93
52	16	790	1000	93
53	16	790	1000	93
54	16	790	1000	93
55	16	790	1000	93
56	16	790	1000	93
57	16	790	1000	93
58	16	790	1000	93
59	16	790	1000	93
60	16	790	1000	93
61	16	790	1000	93
62	16	790	1000	93
63	16	790	1000	93
64	16	790	1000	93
65	16	790	1000	93
66	16	790	1000	93
67	16	790	1000	93
68	16	790	1000	93
69	16	790	1000	93
70	17	330	1000	90
71	18	330	1000	87
72	19	330	1000	87
73	20	790	1000	86
74	20	790	1000	86
75	20	790	1000	86
76	20	790	1000	86
77	20	790	1000	86
78	21	790	1000	86
79	21	790	1000	86
80	21	790	1000	86
81	21	790	1000	86
82	21	790	1000	86
83	22	470	1000	83
84	23	470	1000	83
85	24	330	1000	80
86	25	470	1000	78
87	26	590	1000	78
88	27	790	1000	73
89	27	790	1000	73
90	28	590	1000	72
91	29	790	1000	68
92	29	790	1000	68
93	29	790	1000	68
94	30	790	1000	66
95	30	790	1000	66
96	30	790	1000	66
97	31	790	1000	65
98	31	790	1000	65
99	32	790	1000	64
100	32	790	1000	64
101	33	790	1000	62
102	33	790	1000	62
103	33	790	1000	62
104	34	790	1000	61
105	34	790	1000	61
106	34	790	1000	61
107	35	590	1000	59
108	36	330	1000	58
109	37	470	1000	50
110	38	420	1000	49
111	39	790	1000	49
112	39	790	1000	49
113	39	790	1000	49
114	39	790	1000	49
115	40	590	1000	48
116	41	590	1000	48
117	42	330	1000	48
118	43	330	1000	48
119	44	330	1000	48
120	45	390	1000	48
121	46	390	1000	48
122	47	790	1000	48
123	47	790	1000	48
124	47	590	1000	48
125	48	610	1000	47
126	48	330	1000	47
127	49	420	1000	47
128	50	460	1000	47
129	50	460	1000	47
130	51	330	1000	46
131	52	790	1000	46
132	52	390	1000	46
133	53	390	1000	46
134	54	790	1000	46
135	54	790	1000	46
136	54	790	1000	46
137	55	390	1000	46
138	56	790	1000	44
139	56	790	1000	44
140	57	790	1000	44
141	57	790	1000	44
142	58	590	1000	44
143	59	790	1000	44
144	60	330	1000	43
145	61	590	1000	43
146	62	790	1000	43
147	62	790	1000	43
148	62	590	1000	43
149	63	790	1000	43
150	63	790	1000	43
151	63	790	1000	43
152	64	790	1000	42
153	65	590	1000	42
154	66	790	1000	42
155	66	790	1000	42
156	66	790	1000	42
157	67	790	1000	41
158	67	790	1000	41
159	67	790	1000	41
160	68	330	1000	40
161	69	790	1000	38
162	70	390	1000	36
163	71	790	1000	36
164	71	390	1000	36
